id,lat,lon,flock
4495234359,52.0553462,5.06578,0
4495234367,52.1301759,5.0125511,0
4501248213,52.0090055,4.3263896,0
4518156091,38.026843,-122.114526,0
4523031776,35.5619421,139.7252748,0
4523031777,35.5619694,139.7251823,0
4525211745,33.8841603,-117.6294196,0
4525211758,33.8848576,-117.6348499,0
4526294494,42.1437709,-72.7277585,0
4526294495,42.1436421,-72.7278027,0
4526294496,42.2256901,-72.9705617,0
4526294497,42.2975553,-73.2444348,0
4526294498,42.2974179,-73.2444129,0
4531630997,35.5483984,139.7312963,0
4533514362,35.5945004,139.7296168,0
4533912487,39.4997807,-104.7417653,1
4577612897,50.7980714,7.1188635,0
4599877361,35.9934819,140.1587654,0
4631702695,45.5233253,9.5925093,0
4638191630,59.8464014,10.7768994,0
4647064888,51.2033896,4.425302,0
4657190240,35.0808783,-106.6194342,0
4670442238,-33.3606909,-66.0619257,0
4672291344,50.9608176,4.5849123,0
4673794578,38.3332029,-122.7140774,1
4678083294,38.0269366,-122.114298,0
4678083320,38.0271428,-122.1139002,0
4692501806,53.4509559,59.0328342,0
4699959599,33.9442877,-117.2549381,1
4718425106,44.7987099,10.3243797,0
4739925053,34.4717869,-83.9771192,1
4746935636,60.6312734,24.8658447,0
4746935637,60.6321033,24.8643766,0
4762982881,-34.5475094,-58.4692049,0
4762982884,-34.5480599,-58.4690229,0
4788676721,45.5743952,10.5455984,0
4789942050,41.5908233,-0.6678113,0
4790073350,41.3176338,-1.7773933,0
4791055076,-34.5495773,-58.4922796,0
4791055077,-34.5495976,-58.4924712,0
4792739369,41.3163455,69.3162366,0
4792739370,41.3173916,69.3168501,0
4795640515,39.6691159,-77.7175939,0
4795640516,39.6689833,-77.7176739,0
4804095922,43.0364639,-76.1296035,1
4807332468,42.0897443,12.294128,0
4807332469,42.0872165,12.3191234,0
4807332470,42.089345,12.3015615,0
4807374222,42.1118364,12.2914525,0
4824929259,41.2925264,69.3564261,0
4824929261,41.2930956,69.3556038,0
4829216222,-34.5852762,-58.388795,0
4829216223,-34.5850713,-58.3886526,0
4829235762,-34.5363366,-58.4679582,0
4829235763,-34.5420725,-58.480148,0
4829235764,-34.5467591,-58.4919704,0
4829923456,-34.6150701,-58.5301262,0
4829985720,-34.5671037,-58.4304959,0
4831218621,42.3430418,-71.0615013,0
4832020287,-34.6248089,-58.5296792,0
4838948663,42.4542683,59.6411432,0
4882476238,-34.6403848,-58.5280411,0
4882476248,-34.6373238,-58.52918,0
4882476249,-34.6032613,-58.52482,0
